"","lon","lat"
"417",139.69171,35.6895
"418",29.95527,31.21564
"419",-64,-34
"420",NA,NA
"421",-69.785305,44.337634
"422",NA,NA
"423",8.5735,46.9656
"424",31.24967,30.06263
"425",NA,NA
"426",NA,NA
"427",NA,NA
"428",-65.95739,18.38078
"429",NA,NA
"430",NA,NA
"431",12.83333,42.83333
"432",-73.992602,40.742185
"433",NA,NA
"434",-98.34557,26.6495
"435",-61.9267,-23.4933
"436",NA,NA
"437",NA,NA
"438",NA,NA
"439",4.88969,52.37403
"440",NA,NA
"441",NA,NA
"442",-3.70256,40.4165
"443",NA,NA
"444",NA,NA
"445",NA,NA
"446",NA,NA
"447",NA,NA
"448",-110.66667,29.33333
"449",-85.657669,36.354002
"450",NA,NA
"451",NA,NA
"452",-8.13057,39.6945
"453",NA,NA
"454",-68.31946,44.23341
"455",-6.83255,34.01325
"456",-55,-10
"457",-71,-30
"458",NA,NA
"459",NA,NA
"460",-1.61636,49.63984
"461",NA,NA
"462",NA,NA
"463",-79.765156,36.069144
"464",-118.248405,33.973951
"465",NA,NA
"466",-55,-10
"467",NA,NA
"468",121,24
"469",-34.88111,-8.05389
"470",-71,-30
"471",-81.373291,28.545179
"472",NA,NA
"473",-87.650052,41.850033
"474",2.3488,48.85341
"475",-43.46563,-23.01711
"476",-111.92614,41.088889
"477",-98.5,39.76
"478",-48,-10.5
"479",-77.036366,38.895112
"480",-93.04767,35.02287
"481",NA,NA
"482",4,50.83333
"483",NA,NA
"484",10.01534,53.57532
"485",9.14062,48.69096
"486",NA,NA
"487",NA,NA
"488",-99.25061,31.25044
"489",NA,NA
"490",NA,NA
"491",NA,NA
"492",-98.5,39.76
"493",NA,NA
"494",NA,NA
"495",NA,NA
"496",NA,NA
"497",-87.650052,41.850033
"498",NA,NA
"499",NA,NA
"500",NA,NA
"501",NA,NA
"502",NA,NA
"503",NA,NA
"504",NA,NA
"505",NA,NA
"506",NA,NA
"507",-73.989319,40.694481
"508",NA,NA
"509",NA,NA
"510",20,47
"511",-102,23
"512",NA,NA
"513",NA,NA
"514",-99.12766,19.42847
"515",-116.75119,39.25021
"516",-118.021353,35.125624
"517",-99.12766,19.42847
"518",NA,NA
"519",-74.80007,39.962299
"520",20.45998,44.81892
"521",NA,NA
"522",NA,NA
"523",2.3488,48.85341
"524",NA,NA
"525",-118.021353,35.125624
"526",-99.726018,28.507128
"527",NA,NA
"528",NA,NA
"529",NA,NA
"530",NA,NA
"531",-77.02824,-12.04318
"532",-7.02121,53.16667
"533",-87.650052,41.850033
"534",NA,NA
"535",-97.10251,32.43347
"536",NA,NA
"537",-103.66667,20.33333
"538",NA,NA
"539",-71,-30
"540",NA,NA
"541",NA,NA
"542",NA,NA
"543",-86.2604,39.8647
"544",NA,NA
"545",NA,NA
"546",-35.88111,-7.23056
"547",12.83333,42.83333
"548",-118.021353,35.125624
"549",-38.51083,-12.97111
"550",-73.58781,45.50884
"551",NA,NA
"552",-55,-10
"553",NA,NA
"554",NA,NA
"555",-74.005973,40.714269
"556",NA,NA
"557",-85.073906,33.024347
"558",106.98333,0.61667
"559",-86.462357,35.486335
"560",75,19.5
"561",NA,NA
"562",-83.50018,32.75042
"563",-71.10832,42.36565
"564",NA,NA
"565",-64,-34
"566",NA,NA
"567",-88.91667,13.83333
"568",-114.08529,51.05011
"569",-110.970869,32.217975
"570",NA,NA
"571",NA,NA
"572",-2.69531,54.75844
"573",-76,-10
"574",NA,NA
"575",-62.72198,8.29829
"576",-77.02824,-12.04318
"577",NA,NA
"578",NA,NA
"579",24,-29
"580",-55,-10
"581",-118.021353,35.125624
"582",NA,NA
"583",NA,NA
"584",NA,NA
"585",NA,NA
"586",NA,NA
"587",55.17181,25.22231
"588",19.5,47.75
"589",NA,NA
"590",NA,NA
"591",NA,NA
"592",NA,NA
"593",NA,NA
"594",12.83333,42.83333
"595",-98.5,39.76
"596",7.66667,45.05
"597",NA,NA
"598",NA,NA
"599",-121.705327,37.189396
"600",-66.87919,10.48801
"601",-122.33207,47.60621
"602",-98.5,39.76
"603",-74.005973,40.714269
"604",-102,23
"605",NA,NA
"606",-6.5,54.5
"607",35.83333,33.83333
"608",-97.81181,25.6718
"609",20,52
"610",-84.458771,42.763888
"611",NA,NA
"612",NA,NA
"613",NA,NA
"614",NA,NA
"615",-93.48,37.12
"616",101.68653,3.1412
"617",-118.358654,33.956526
"618",-118.248405,33.973951
"619",-76.5225,3.43722
"620",NA,NA
"621",NA,NA
"622",NA,NA
"623",-74.49987,40.16706
"624",-102,23
"625",-2.69531,54.75844
"626",-0.37739,39.46975
"627",NA,NA
"628",-87.650052,41.850033
"629",9.14062,48.69096
"630",-115.967051,34.839964
"631",NA,NA
"632",NA,NA
"633",120,-5
"634",-82.5001,28.75054
"635",-83.824424,39.444985
"636",-87.650052,41.850033
"637",NA,NA
"638",NA,NA
"639",NA,NA
"640",-3.69063,40.42526
"641",NA,NA
"642",NA,NA
"643",NA,NA
"644",112,31
"645",NA,NA
"646",-72,4
"647",-1.64323,42.81687
"648",-98.20193,19.04334
"649",13.16667,43.2
"650",-74.005973,40.714269
"651",NA,NA
"652",-98.5,39.76
"653",-118.24368,34.05223
"654",-99.12766,19.42847
"655",-97.10251,32.43347
"656",122,13
"657",-105.103179,40.164837
"658",NA,NA
"659",10.5,51.5
"660",-76.5169,38.32429
"661",20,52
"662",NA,NA
"663",-80.00032,35.50069
"664",-122.727802,37.784827
"665",-81.33312,48.46686
"666",NA,NA
"667",-55,-10
"668",NA,NA
"669",-112.54447,46.07798
"670",NA,NA
"671",-72,4
"672",-74.49987,40.16706
"673",12.8333,42.8333
"674",NA,NA
"675",NA,NA
"676",-48.54917,-27.59667
"677",-118.24368,34.05223
"678",-86.5,15
"679",NA,NA
"680",-66,8
"681",-3.70256,40.4165
"682",NA,NA
"683",-89.51925,34.3665
"684",NA,NA
"685",NA,NA
"686",-79.00453,-2.90054
"687",-2.11636,52.80521
"688",NA,NA
"689",NA,NA
"690",-81.65565,30.33218
"691",-115.206969,36.301068
"692",NA,NA
"693",3.28757,49.84889
"694",-102.86822,46.53918
"695",NA,NA
"696",NA,NA
"697",55.17181,25.22231
"698",-86.2604,39.8647
"699",-77.02824,-12.04318
"700",NA,NA
"701",12.83333,42.83333
"702",NA,NA
"703",-97.50328,35.49209
"704",NA,NA
"705",-86.5,15
"706",14.25,40.83333
"707",35.9667,38.9667
"708",-125.0032,53.99983
"709",-46.63611,-23.5475
"710",-84.41134,39.83672
"711",-76.904972,38.885867
"712",NA,NA
"713",-105.50083,39.00027
"714",NA,NA
"715",-3.70256,40.4165
"716",-0.48149,38.34517
"717",NA,NA
"718",NA,NA
"719",-79.4163,43.70011
"720",-1.4528791,53.3856729
"721",NA,NA
"722",NA,NA
"723",-3.79415,40.28419
"724",5.75,52.5
"725",-87.65005,41.85003
"726",-2.13333,40.06667
"727",NA,NA
"728",NA,NA
"729",-98.528889,29.468413
"730",-0.1278328,51.5072648
"731",-74.005973,40.714269
"732",35.83333,33.83333
"733",NA,NA
"734",NA,NA
"735",-55,-10
"736",NA,NA
"737",-55,-10
"738",-118.257416,34.643265
"739",-79.99589,40.44062
"740",-74.49987,40.16706
"741",-102,23
"742",NA,NA
"743",NA,NA
"744",NA,NA
"745",-98.5,39.76
"746",NA,NA
"747",NA,NA
"748",NA,NA
"749",NA,NA
"750",-121.901997,36.591507
"751",7.26608,43.70313
"752",135.36667,34.46667
"753",-88.91667,13.83333
"754",NA,NA
"755",-2.4606,36.8365
"756",-82.5001,28.75054
"757",-65.2226,-26.82414
"758",NA,NA
"759",-77.00025,38.91706
"760",NA,NA
"761",-74.005973,40.714269
"762",NA,NA
"763",NA,NA
"764",NA,NA
"765",-77.03637,38.89511
"766",2,46
"767",-79.054475,36.004647
"768",-84,10
"769",55.17181,25.22231
"770",-79.949833,39.653813
"771",-111.75103,39.25024
"772",NA,NA
"773",-71.10832,42.36565
"774",NA,NA
"775",NA,NA
"776",NA,NA
"777",-73.992602,40.742185
"778",-154.91194,19.50611
"779",-79.9559,39.62953
"780",-60,-36
"781",NA,NA
"782",2,46
"783",-55,-10
"784",-118.24368,34.05223
"785",NA,NA
"786",NA,NA
"787",-66.10572,18.46633
"788",NA,NA
"789",-2.69531,54.75844
"790",NA,NA
"791",-55,-10
"792",-46.63611,-23.5475
"793",NA,NA
"794",1,49.16667
"795",NA,NA
"796",-77.995133,40.696298
"797",-73.99736,41.85704
"798",-34.88111,-8.05389
"799",-2.69531,54.75844
"800",-113.64258,60.10867
"801",-74.005973,40.714269
"802",NA,NA
"803",-3.70256,40.4165
"804",NA,NA
"805",-73.992602,40.742185
"806",NA,NA
"807",-8.61742,41.13363
"808",NA,NA
"809",2.5,48.5
"810",NA,NA
"811",2.3488,48.85341
"812",-60,-36
"813",NA,NA
"814",NA,NA
"815",-4,40
"816",-71.177998,42.372596
"817",6,5.5
"818",NA,NA
"819",-0.70312,52.16045
"820",2.3488,48.85341
"821",-0.40443,54.27966
"822",-0.5805,44.84044
"823",NA,NA
"824",NA,NA
"825",-95.111278,30.588554
"826",170.58333,-45.71667
"827",NA,NA
"828",13.5557,37.3876
"829",NA,NA
